time [s],RR_interval [s/256](/api/datatype/18/)
5.47265625,0
6.43359375,246
7.375,241
8.2890625,234
9.09765625,207
9.90625,207
10.69921875,203
11.46875,197
12.26171875,203
13.06640625,206
13.89453125,212
14.7421875,217
15.6875,242
16.7265625,266
17.75,262
18.7890625,266
19.80078125,259
20.75,243
21.61328125,221
22.40234375,202
23.12109375,184
23.80859375,176
24.48828125,174
25.17578125,176
25.9375,195
26.76953125,213
27.6875,235
28.6640625,250
29.59765625,239
30.46875,223
31.25,200
32.01171875,195
32.734375,185
33.4296875,178
34.0859375,168
34.734375,166
35.37890625,165
36.046875,171
36.75390625,181
37.5078125,193
38.2734375,196
39.10546875,213
39.9375,213
40.7578125,210
41.57421875,209
42.34765625,198
43.1015625,193
43.875,198
44.6328125,194
45.40234375,197
46.19140625,202
47.0546875,221
47.97265625,235
48.87109375,230
49.82421875,244
50.8046875,251
51.73828125,239
52.640625,231
53.578125,240
54.5,236
55.41796875,235
56.38671875,248
57.390625,257
58.38671875,255
59.44140625,270
60.5234375,277
61.54296875,261
62.5625,261
63.59375,264
64.57421875,251
65.4921875,235
66.4609375,248
67.46875,258
68.46875,256
69.45703125,253
70.51171875,270
71.6015625,279
72.6484375,268
73.6875,266
74.73046875,267
75.75,261
76.71875,248
77.69921875,251
78.71875,261
79.73046875,259
80.765625,265
81.85546875,279
82.953125,281
84.0,268
85.03125,264
85.99609375,247
86.91015625,234
87.87109375,246
88.84375,249
89.78125,240
90.640625,220
91.63671875,255
92.625,253
93.54296875,235
94.5234375,251
95.48046875,245
96.33984375,220
97.1875,217
97.9453125,194
98.6875,190
99.45703125,197
100.25,203
101.046875,204
101.890625,216
102.66796875,199
103.55078125,226
104.42578125,224
105.26953125,216
106.19140625,236
107.078125,227
108.01171875,239
108.9296875,235
109.765625,214
110.65234375,227
111.53125,225
112.4765625,242
113.4140625,240
114.359375,242
115.30078125,241
116.25,243
117.21484375,247
118.14453125,238
119.08203125,240
120.046875,247
121.046875,256
122.08203125,265
123.11328125,264
124.0625,243
125.0390625,250
125.96484375,237
126.91015625,242
127.8359375,237
128.78515625,243
129.7578125,249
130.76171875,257
131.75,253
132.7421875,254
133.7421875,256
134.74609375,257
135.734375,253
136.69921875,247
137.734375,265
138.73828125,257
139.765625,263
140.7734375,258
141.76953125,255
142.7421875,249
143.6875,242
144.58203125,229
145.45703125,224
146.35546875,230
147.28125,237
148.1875,232
149.08203125,229
149.94921875,222
150.81640625,222
151.66015625,216
152.50390625,216
153.37109375,222
154.25390625,226
155.1171875,221
156.06640625,243
156.94140625,224
157.84375,231
158.6640625,210
159.51953125,219
160.29296875,198
161.08203125,202
161.828125,191
162.609375,200
163.359375,192
164.1015625,190
164.83984375,189
165.58984375,192
166.37109375,200
167.20703125,214
168.07421875,222
169.00390625,238
169.9765625,249
170.93359375,245
171.87109375,240
172.8359375,247
173.83203125,255
174.80078125,248
175.7265625,237
176.640625,234
177.53515625,229
178.4296875,229
179.2421875,208
180.078125,214
180.953125,224
181.859375,232
182.80859375,243
183.77734375,248
184.79296875,260
185.81640625,262
186.8515625,265
187.87890625,263
188.8984375,261
189.84375,242
190.68359375,215
191.58984375,232
192.375,201
193.19921875,211
193.96484375,196
194.8125,217
195.58984375,199
196.4453125,219
197.2265625,200
198.0546875,212
198.83203125,199
199.60546875,198
200.37890625,198
201.16796875,202
201.953125,201
202.75390625,205
203.49609375,190
204.2109375,183
204.9453125,188
205.82421875,225
206.80078125,250
207.828125,263
208.86328125,265
209.78125,235
210.60546875,211
211.44140625,214
212.34765625,232
213.265625,235
214.17578125,233
215.0625,227
215.8671875,206
216.625,194
217.3984375,198
218.26953125,223
219.203125,239
220.1484375,242
221.0859375,240
221.95703125,223
222.78515625,212
223.65625,223
224.5546875,230
225.453125,230
226.32421875,223
227.15234375,212
227.953125,205
228.8125,220
229.70703125,229
230.6328125,237
231.5390625,232
232.4296875,228
233.33203125,231
234.25,235
235.08984375,215
235.8515625,195
236.625,198
237.44140625,209
238.29296875,218
239.109375,209
239.9296875,210
240.7265625,204
241.5390625,208
242.3828125,216
243.22265625,215
244.109375,227
244.99609375,227
245.91796875,236
246.83984375,236
247.7734375,239
248.70703125,239
249.6171875,233
250.484375,222
251.2734375,202
252.01953125,191
252.734375,183
253.4296875,178
254.12109375,177
254.8125,177
255.5078125,178
256.2109375,180
256.92578125,183
257.65234375,186
258.37890625,186
259.11328125,188
259.83984375,186
260.5546875,183
261.265625,182
261.9609375,178
262.6484375,176
263.328125,174
264.015625,176
264.703125,176
265.42578125,185
266.1796875,193
266.9375,194
267.72265625,201
268.5390625,209
